CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46197;Polinyà de Xúquer; 35; 1415,86; 2; 80,91; 1; 40,45
3107;Polop; 32; 644,51; 2; 40,28; 1; 20,14
12091;Portell de Morella; 4; 2030,46; 0; 0,0; 0; 0,0
46198;Potríes; 14; 1338,43; 1; 95,6; 0; 0,0
12092;Puebla de Arenoso; 0; 0,0; 0; 0,0; 0; 0,0
46201;Puebla de San Miguel; 0; 0,0; 0; 0,0; 0; 0,0
46204;Puig; 258; 2989,57; 6; 69,52; 21; 243,34
46205;Puçol; 470; 2410,87; 62; 318,03; 13; 66,68
46101;Quart de les Valls; 18; 1821,86; 0; 0,0; 0; 0,0
46102;Quart de Poblet; 378; 1526,66; 13; 52,5; 11; 44,43
46103;Quartell; 52; 3178,48; 3; 183,37; 11; 672,37
46104;Quatretonda; 27; 1220,61; 1; 45,21; 0; 0,0
3060;Quatretondeta; 0; 0,0; 0; 0,0; 0; 0,0
46206;Quesa; 17; 2537,31; 3; 447,76; 2; 298,51
3109;Rafal; 99; 2200,98; 6; 133,39; 2; 44,46
46207;Rafelbuñol/Rafelbunyol; 185; 2069,12; 14; 156,58; 3; 33,55
46208;Rafelcofer; 18; 1338,29; 0; 0,0; 1; 74,35
46209;Rafelguaraf; 28; 1199,14; 3; 128,48; 1; 42,83
46212;Real; 23; 1067,78; 1; 46,43; 1; 46,43
46211;Real de Gandía; 48; 1950,43; 5; 203,17; 1; 40,63
3111;Redován; 142; 1804,55; 10; 127,08; 3; 38,12
3112;Relleu; 5; 431,03; 0; 0,0; 1; 86,21
46213;Requena; 710; 3505,48; 42; 207,37; 35; 172,81
46214;Riba-roja de Túria; 326; 1464,25; 23; 103,31; 7; 31,44
12095;Ribesalbes; 15; 1277,68; 0; 0,0; 0; 0,0
46215;Riola; 16; 909,61; 4; 227,4; 0; 0,0
46216;Rocafort; 88; 1215,47; 7; 96,69; 0; 0,0
3113;Rojales; 215; 1267,46; 22; 129,69; 8; 47,16
3114;Romana (la); 30; 1232,54; 10; 410,85; 1; 41,08
12096;Rossell; 20; 2134,47; 1; 106,72; 0; 0,0
46217;Rotglà i Corberà; 6; 527,24; 1; 87,87; 0; 0,0
46219;Rugat; 2; 1265,82; 0; 0,0; 1; 632,91
3110;Ràfol d'Almúnia (El); 5; 765,7; 0; 0,0; 0; 0,0
46210;Ráfol de Salem; 4; 865,8; 0; 0,0; 0; 0,0
46218;Rótova; 57; 4404,95; 5; 386,4; 0; 0,0
12097;Sacañet; 0; 0,0; 0; 0,0; 0; 0,0
3115;Sagra; 7; 1715,69; 0; 0,0; 0; 0,0
46220;Sagunto/Sagunt; 1384; 2092,53; 150; 226,79; 28; 42,33
46221;Salem; 0; 0,0; 0; 0,0; 0; 0,0
3116;Salinas; 41; 2560,9; 2; 124,92; 2; 124,92
12098;Salzadella (la); 15; 2130,68; 0; 0,0; 1; 142,05
46903;San Antonio de Benagéber; 77; 847,18; 6; 66,01; 1; 11,0
3118;San Fulgencio; 60; 763,84; 5; 63,65; 2; 25,46
3904;San Isidro; 31; 1560,93; 1; 50,35; 1; 50,35
3120;San Miguel de Salinas; 117; 1939,01; 12; 198,87; 2; 33,15
12101;San Rafael del Río; 7; 1492,54; 0; 0,0; 0; 0,0
3122;San Vicente del Raspeig/Sant Vicent del Raspeig; 962; 1647,68; 104; 178,13; 11; 18,84
3117;Sanet y Negrals; 2; 299,85; 0; 0,0; 0; 0,0
3119;Sant Joan d'Alacant; 364; 1522,06; 24; 100,36; 3; 12,54
46222;Sant Joan de l'Ènova; 3; 595,24; 0; 0,0; 0; 0,0
12902;Sant Joan de Moró; 48; 1519,47; 2; 63,31; 1; 31,66
12099;Sant Jordi/San Jorge; 11; 1131,69; 1; 102,88; 0; 0,0
12100;Sant Mateu; 34; 1732,04; 0; 0,0; 0; 0,0
12102;Santa Magdalena de Pulpis; 18; 2343,75; 1; 130,21; 0; 0,0
3121;Santa Pola; 612; 1894,38; 62; 191,91; 7; 21,67
12103;Sarratella; 0; 0,0; 0; 0,0; 0; 0,0
3123;Sax; 246; 2498,73; 29; 294,57; 6; 60,94
46223;Sedaví; 276; 2671,05; 37; 358,08; 2; 19,36
46224;Segart; 0; 0,0; 0; 0,0; 0; 0,0
12104;Segorbe; 126; 1403,43; 8; 89,11; 9; 100,25
3124;Sella; 1; 172,41; 0; 0,0; 0; 0,0
46225;Sellent; 6; 1542,42; 2; 514,14; 0; 0,0
46226;Sempere; 0; 0,0; 0; 0,0; 0; 0,0
3125;Senija; 1; 171,23; 0; 0,0; 0; 0,0
46227;Senyera; 25; 2200,7; 17; 1496,48; 0; 0,0
46228;Serra; 21; 672,22; 1; 32,01; 0; 0,0
12105;Sierra Engarcerán; 4; 409,84; 0; 0,0; 0; 0,0
46229;Siete Aguas; 18; 1559,79; 0; 0,0; 0; 0,0
46230;Silla; 333; 1774,01; 36; 191,79; 3; 15,98
46231;Simat de la Valldigna; 53; 1592,07; 18; 540,7; 2; 60,08
46232;Sinarcas; 8; 711,11; 1; 88,89; 1; 88,89
46233;Sollana; 54; 1110,88; 3; 61,72; 1; 20,57
12106;Soneja; 26; 1796,82; 7; 483,76; 0; 0,0
46234;Sot de Chera; 3; 813,01; 0; 0,0; 0; 0,0
12107;Sot de Ferrer; 11; 2650,6; 0; 0,0; 0; 0,0
46235;Sueca; 470; 1710,4; 31; 112,81; 2; 7,28
12108;Sueras/Suera; 10; 1904,76; 4; 761,9; 1; 190,48
46236;Sumacàrcer; 30; 2737,23; 2; 182,48; 0; 0,0
12109;Tales; 6; 727,27; 0; 0,0; 0; 0,0
46237;Tavernes Blanques; 197; 2160,09; 42; 460,53; 3; 32,89
46238;Tavernes de la Valldigna; 401; 2331,26; 66; 383,7; 18; 104,65
12110;Teresa; 1; 413,22; 0; 0,0; 0; 0,0
46239;Teresa de Cofrentes; 7; 1100,63; 0; 0,0; 1; 157,23
46240;Terrateig; 0; 0,0; 0; 0,0; 0; 0,0
3128;Teulada; 74; 665,95; 8; 71,99; 3; 27,0
3129;Tibi; 22; 1363,07; 0; 0,0; 2; 123,92
46241;Titaguas; 12; 2649,01; 0; 0,0; 0; 0,0
12112;Todolella; 3; 1935,48; 0; 0,0; 0; 0,0
12113;Toga; 1; 1000,0; 0; 0,0; 0; 0,0
3130;Tollos; 0; 0,0; 0; 0,0; 0; 0,0
3131;Tormos; 1; 294,12; 0; 0,0; 0; 0,0
12115;Toro (El); 0; 0,0; 0; 0,0; 0; 0,0
12116;Torralba del Pinar; 0; 0,0; 0; 0,0; 0; 0,0
12119;Torre d'En Besora (la); 0; 0,0; 0; 0,0; 0; 0,0
12120;Torre d'en Doménec (la); 0; 0,0; 0; 0,0; 0; 0,0
46242;Torrebaja; 3; 729,93; 0; 0,0; 0; 0,0
12117;Torreblanca; 120; 2170,77; 9; 162,81; 1; 18,09
12118;Torrechiva; 0; 0,0; 0; 0,0; 0; 0,0
46243;Torrella; 0; 0,0; 0; 0,0; 0; 0,0
3132;Torremanzanas/Torre de les Maçanes (la); 6; 907,72; 0; 0,0; 0; 0,0
46244;Torrent; 2108; 2564,23; 217; 263,96; 78; 94,88
46245;Torres Torres; 6; 941,92; 0; 0,0; 0; 0,0
3133;Torrevieja; 1356; 1627,13; 58; 69,6; 52; 62,4
12114;Torás; 0; 0,0; 0; 0,0; 0; 0,0
46246;Tous; 12; 950,12; 1; 79,18; 0; 0,0
12121;Traiguera; 46; 3338,17; 1; 72,57; 1; 72,57
46248;Turís; 90; 1354,2; 4; 60,19; 0; 0,0
46247;Tuéjar; 14; 1254,48; 8; 716,85; 0; 0,0
3127;Tàrbena; 2; 309,6; 2; 309,6; 0; 0,0
12111;Tírig; 1; 238,66; 0; 0,0; 0; 0,0
12122;Useras/Useres (les); 3; 311,85; 0; 0,0; 0; 0,0
46249;Utiel; 401; 3477,58; 69; 598,39; 27; 234,15
46250;Valencia; 21984; 2767,76; 1999; 251,67; 449; 56,53
12124;Vall d'Alba; 72; 2565,02; 5; 178,13; 2; 71,25
3134;Vall d'Alcalà (la); 1; 598,8; 0; 0,0; 0; 0,0
3135;Vall d'Ebo (la); 0; 0,0; 0; 0,0; 0; 0,0
12126;Vall d'Uixó (la); 623; 1967,78; 79; 249,53; 7; 22,11
12125;Vall de Almonacid; 1; 371,75; 0; 0,0; 0; 0,0
3136;Vall de Gallinera; 0; 0,0; 0; 0,0; 0; 0,0
3137;Vall de Laguar (la); 4; 472,81; 0; 0,0; 0; 0,0
46251;Vallada; 81; 2665,35; 7; 230,34; 4; 131,62
46252;Vallanca; 1; 719,42; 0; 0,0; 0; 0,0
12123;Vallat; 0; 0,0; 0; 0,0; 0; 0,0
12127;Vallibona; 0; 0,0; 0; 0,0; 0; 0,0
46253;Vallés; 0; 0,0; 0; 0,0; 0; 0,0
46254;Venta del Moro; 32; 2651,2; 5; 414,25; 0; 0,0
3138;Verger (el); 67; 1443,97; 8; 172,41; 1; 21,55
12135;Vila-real; 1247; 2450,24; 164; 322,24; 52; 102,18
12128;Vilafamés; 17; 922,91; 0; 0,0; 0; 0,0
46256;Vilamarxant; 92; 946,79; 22; 226,41; 3; 30,87
12132;Vilanova d'Alcolea; 7; 1198,63; 0; 0,0; 0; 0,0
12134;Vilar de Canes; 6; 3550,3; 0; 0,0; 0; 0,0
12136;Vilavella (la); 51; 1615,46; 1; 31,68; 1; 31,68
12129;Villafranca del Cid/Vilafranca; 55; 2500,0; 14; 636,36; 0; 0,0
12130;Villahermosa del Río; 74; 15132,92; 7; 1431,49; 15; 3067,48
3139;Villajoyosa/Vila Joiosa (la); 617; 1779,48; 84; 242,26; 23; 66,33
46255;Villalonga; 53; 1241,22; 12; 281,03; 0; 0,0
12131;Villamalur; 1; 1612,9; 0; 0,0; 0; 0,0
46257;Villanueva de Castellón; 172; 2440,06; 42; 595,83; 1; 14,19
12133;Villanueva de Viver; 3; 4918,03; 0; 0,0; 0; 0,0
46258;Villar del Arzobispo; 71; 1997,75; 3; 84,41; 0; 0,0
46259;Villargordo del Cabriel; 10; 1697,79; 5; 848,9; 0; 0,0
3140;Villena; 871; 2564,48; 89; 262,04; 18; 53,0
12137;Villores; 1; 2564,1; 0; 0,0; 0; 0,0
46260;Vinalesa; 43; 1257,31; 5; 146,2; 0; 0,0
12138;Vinaròs; 801; 2792,69; 58; 202,22; 11; 38,35
12139;Vistabella del Maestrazgo; 7; 2064,9; 0; 0,0; 0; 0,0
12140;Viver; 17; 1106,77; 1; 65,1; 0; 0,0
3081;Xaló; 14; 511,14; 2; 73,02; 0; 0,0
46143;Xeraco; 121; 2139,7; 25; 442,09; 2; 35,37
46146;Xeresa; 24; 1107,01; 11; 507,38; 0; 0,0
46110;Xirivella; 960; 3240,73; 97; 327,45; 14; 47,26
46145;Xàtiva; 675; 2309,19; 117; 400,26; 13; 44,47
46262;Yesa (La); 8; 3493,45; 0; 0,0; 0; 0,0
46261;Yátova; 9; 435,41; 0; 0,0; 0; 0,0
46263;Zarra; 4; 1114,21; 1; 278,55; 0; 0,0
12141;Zorita del Maestrazgo; 0; 0,0; 0; 0,0; 0; 0,0
12142;Zucaina; 1; 584,8; 0; 0,0; 0; 0,0
46119;Ènova (l'); 26; 2931,23; 10; 1127,4; 1; 112,74
